model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7277475559760328,0.306983400114482,0.7586645918800397,0.4371001263295163,0.8183142981410356
Decision Tree,0.7963379060233365,0.282109479305741,0.298910737020795,0.29026718868054124,0.5885821167499605
Random Forest,0.8566106906338694,0.4577175697865353,0.1577309378978639,0.23461336138874278,0.7912552701522241
KNN,0.8457505518763797,0.39666939666939666,0.20554533880322534,0.27077897875512486,0.7161774675164676
Gradient Boosting,0.8656378114159571,0.5585501858736059,0.17003819493563446,0.26070925062357664,0.8265021267532643
SVM,0.7238647114474929,0.3045119134794119,0.7647474890366388,0.43558133913463865,0.8180007295079831
Neural Network,0.8609468621885841,0.5025830258302583,0.1926722308671665,0.2785560895797116,0.8148966452769424
